Total paragraphs: 3934

[ 68] s=30  | 정해놓고 - 생각하라
[115] s=30  | INTRO
[116] s=30  | 공부의 태도
[117] s=30  | 체계, 회상, 몰입
[136] s=1   | 01 실전적 비문학
[137] s=1   | 01 실전적 비문학
[140] s=1   | FINAL BOOST - 신기태
[141] s=30  | FINAL BOOST - 신기태
[145] s=97  | FINAL BOOST - 신기태
[176] s=1   | FINAL BOOST 1날짜 [     ] 소요 시간 [     ] 첫 난이도 [     ] RETRY 난이도 [    ]
[177] s=1   | FINAL BOOST 1
[178] s=1   | 날짜 [     ] 소요 시간 [     ] 첫 난이도 [     ] RETRY 난이도 [    ]
[180] s=62  | 유학은 ㉠수기치인(修己治人)을 통해 성인(聖人)이 되기 위한 학문으로 성학(聖學)이라고도 불린다. ‘수기’는 사물을 탐구하고 앎을 투철히 하고 뜻을 성실하게 하고 마음을 바르게 하여 자신을 닦는 일이며, ‘치인’은 집안을 바르게 하고 나라를 통치하고 세상을 평화롭게 하는 것을 의미한다. 수기치인을 통해 하늘의 도리인 천도(天道)와 합일되는 경지에 도달한 사람이 바로 ‘성인’이다. 이러한 유학의 이념을 적극 수용했던 율곡 이이는 수기치인의 도리를 밝힌 『성학집요』(1575)를 지어 이 땅에 유학의 이상 사회가 구현되기를 소망했다.
[181] s=62  | 율곡은 수기를 위한 수양론과 치인을 위한 경세론을 전개하는데, 그 바탕은 만물을 ‘이(理)’와 ‘기(氣)’로 설명하는 이기론이다. 존재론의 측면에서 율곡은 ‘이’를 형체도 없고 시간과 공간의 제약을 받지 않고 존재하는 만물의 법칙이자 원리로 보고, ‘기’를 시간적인 선후와 공간적인 시작과 끝을 가지면서 끊임없이 변화하며 작동하는 물질적 요소로 본다. ‘이’와 ‘기’는 사물의 구성 요소로서 서로 다른 성질을 갖지만, ‘이’는 현실 세계에서 항상 ‘기’와 더불어 실제로 존재한다. 율곡은 이처럼 서로 구별되면서도 분리됨이 없이 존재하는 ‘이’와 ‘기’의 관계를 이기지묘(理氣之妙)라 표현한다.
[182] s=62  | 수양론의 한 가지 기반으로, 율곡은 이통기국(理通氣局)을 주장한다. 이것은 만물이 하나의 동일한 ‘이’를 공유하지만, 다양한 ‘기’의 성질로 인해 서로 다른 모습으로 나타날 수 있음을 의미한다. 또한 이러한 이통기국론은, 성인과 일반인이 기질의 차이는 있지만 동일한 ‘이’를 갖기 때문에 일반인이라도 기질상의 병폐를 제거하고 탁한 기질을 정화하면 ‘이’의 선한 본성이 회복되어 성인의 경지에 이를 수 있다는 기질 변화론으로 이어진다. 율곡은 흐트러진 마음을 거두어들이는 거경(居敬), 경전을 읽고 공부하여 시비를 분별하는 궁리(窮理), 그리고 몸과 마음을 다스려 사욕을 극복하는 역행(力行)을 기질 변화를 위한 중요한 수양 방법으로 제시한다. 인간에게 내재된 천도를 실현하려는 율곡의 수양론은 사회의 폐단을 제거하여 천도를 실현하려는 경세론으로 이어진다.
[183] s=62  | 대사상가인 동시에 탁월한 경세가였던 율곡은 많은 논설에서 법제 개혁론을 펼쳤는데, 이는 ｢만언봉사｣(1574)에서 잘 나타난다. 선조는 “‘이’는 빈틈없는 완전함이 있고, ‘기’는 변화하는 움직임이 있다.”라고 말하면서 근래 하늘과 땅에서 일어난 재앙으로부터 깨우쳐야 할 도리를 신하들에게 물었고, 율곡이 그에 대한 답변을 올린 것이 ｢만언봉사｣이다. 여기서 율곡은 “때에 따라 변할 수 있는 것은 법제이며, 시대를 막론하고 변할 수 없는 것이 왕도요, 어진 정치요, 삼강이요, 오륜입니다.”라고 말하면서 법제 개혁의 필요성을 주장한다. 곧, ‘이’라 할 수 있는 왕도나 오륜을 고치려 하는 것이 아니라, 그것을 구현할 수 있도록 법제를 개혁하여야 한다는 것이다.
